customer_id,age,gender,tenure,monthly_charges,total_charges,contract_type,payment_method,paperless_billing,internet_service,online_security,online_backup,tech_support,streaming_tv,streaming_movies,dependents,partner,phone_service,multiple_lines,monthly_usage_gb,customer_service_calls,satisfaction_score,churn
1,56,Male,7,31.91,1554.52,Month-to-month,Electronic check,Yes,DSL,No,No internet service,No,No,No internet service,No,No,No,Yes,289,3,4,No
2,69,Male,9,44.45,1190.56,Month-to-month,Mailed check,No,Fiber optic,No,No,No internet service,No,No,No,Yes,No,No phone service,480,0,5,No
3,46,Female,48,90.13,57.3,Month-to-month,Bank transfer,No,No,Yes,Yes,Yes,No internet service,No,No,No,Yes,Yes,448,1,2,No
4,32,Male,59,99.71,3660.26,Month-to-month,Electronic check,Yes,Fiber optic,Yes,No,No,No,Yes,No,Yes,Yes,No phone service,477,2,4,No
5,60,Male,39,49.46,4835.89,Two year,Credit card,Yes,Fiber optic,No internet service,No,No internet service,No,No,Yes,No,Yes,No,281,7,4,No
6,25,Female,18,55.89,1160.25,Two year,Mailed check,No,Fiber optic,No internet service,No internet service,No internet service,No,No,No,No,No,No,281,9,2,No
7,78,Male,59,77.77,3332.08,Month-to-month,Electronic check,No,DSL,Yes,Yes,No internet service,No,No,Yes,Yes,No,No,291,3,2,No
8,38,Male,17,90.9,3722.39,One year,Electronic check,Yes,No,No internet service,No internet service,No,No internet service,No,Yes,Yes,No,No phone service,239,3,2,No
9,56,Male,14,67.44,4249.71,Month-to-month,Mailed check,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Yes,Yes,No phone service,439,9,3,No
10,75,Male,31,51.32,2142.01,One year,Mailed check,Yes,DSL,No internet service,Yes,No,Yes,No,Yes,No,No,No,278,8,5,No
11,36,Male,24,53.01,1549.51,Two year,Credit card,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,Yes,No,115,6,1,No
12,40,Female,60,75.65,1660.21,Two year,Credit card,Yes,DSL,No,Yes,Yes,Yes,No internet service,Yes,No,Yes,Yes,427,1,4,No
